id,sex,s_maths,s_read,e_behav1,e_behav2,e_behav3,e_maths,e_read,FSM,IDACI,start_vocab_total,School,Class,Age_at_start,Age_at_end,Classification,count,countFSM,percentageFSM,GrowthRate
27745,0,32,62,3,2,1,29,156,0,13795,18,674,108,4.14,4.89,1,62,6,0.56,0.999988486607471
29653,1,11,12,8,0,0,10,29,0,11241,10,722,238,4.16,4.83,1,26,6,0.2,0.999988852672681
17305,1,23,32,0,0,0,21,38,0,3027,20,405,871,5.01,5.1,1,41,13,0.28,0.999989360082545
66023,1,25,32,3,0,0,23,54,0,14854,18,1786,678,4.94,5.68,1,14,1,0.13,0.999990247812589
27007,1,30,55,0,0,0,28,89,0,14061,19,656,1113,4.84,4.93,1,36,2,0.34,0.999991930690863
51858,0,15,17,3,1,0,14,52,0,20433,10,1325,1212,4.5,5.25,1,45,2,0.43,0.999991930690863
37895,0,16,24,6,1,0,15,21,1,9589,13,965,1363,4.97,5.14,1,44,4,0.4,0.999992451663444
38337,0,17,17,8,5,3,16,19,0,13133,12,974,567,4.85,5.1,1,49,2,0.47,0.999992909426095
38327,1,18,41,0,0,0,17,66,1,7239,18,974,567,4.77,5.02,1,49,2,0.47,0.999993314827745
36473,1,21,37,1,0,0,20,38,1,8320,20,915,1049,5,5.08,1,34,2,0.32,0.999994293564332
38134,1,21,54,0,0,0,20,60,0,17105,18,971,898,4.78,4.87,1,55,22,0.33,0.999994293564332
58729,0,21,28,0,0,0,20,55,0,4353,15,1560,266,4.58,5.25,1,49,16,0.33,0.999994293564332
1776,0,22,21,3,0,0,21,29,0,2678,10,46,895,4.59,4.92,1,57,8,0.49,0.999994559077301
16564,0,22,22,0,0,0,21,38,0,13300,12,384,1049,5.11,5.19,1,15,3,0.12,0.999994559077301
33301,0,22,16,1,0,0,21,30,0,11320,8,836,1191,4.38,4.88,1,34,3,0.31,0.999994559077301
19433,1,23,27,0,0,0,22,59,0,5892,17,466,1168,4.82,5.57,1,39,10,0.29,0.999994800976957
17209,1,24,32,1,1,2,23,41,0,20237,16,401,1049,4.73,4.9,1,20,1,0.19,0.999995022279708
35724,0,24,30,9,5,3,23,44,0,14438,18,894,748,4.92,5.17,1,53,5,0.48,0.999995022279708
16660,0,25,75,0,0,0,24,139,1,7143,22,386,1049,4.79,4.95,1,23,2,0.21,0.999995225509115
16878,1,25,49,4,2,2,24,60,0,15495,17,391,4,4.77,4.93,1,27,0,0.27,0.999995225509115
51828,1,25,36,0,0,0,24,68,0,25795,21,1325,1001,4.74,5.49,1,45,2,0.43,0.999995225509115
1803,0,26,58,5,2,0,25,57,0,24008,19,46,1368,5.38,6.04,1,57,8,0.49,0.999995412792609
43659,1,26,47,4,1,0,25,91,0,16106,22,1103,1049,4.92,5.67,1,26,1,0.25,0.999995412792609
36939,1,27,48,0,1,0,26,89,0,30034,17,929,1049,4.79,4.96,1,77,8,0.69,0.999995585936294
17190,0,29,51,1,0,0,28,67,0,21700,18,401,1049,4.89,5.06,1,20,1,0.19,0.999995895760491
35849,1,30,48,0,0,0,29,73,0,24578,20,899,1167,4.63,4.8,1,27,0,0.27,0.999996034914098
13754,0,38,32,0,0,0,37,52,0,11929,20,302,1087,4.98,5.77,1,40,6,0.34,0.999996880911638
34771,1,38,47,0,1,1,37,57,0,5323,20,870,994,4.7,4.84,1,19,7,0.12,0.999996880911638
1549,0,29,34,0,0,0,29,84,0,26205,20,43,1017,4.85,5.6,1,61,12,0.49,1
5355,0,5,10,8,2,0,5,16,1,96,8,113,102,4.08,4.82,1,12,7,0.05,1
6238,1,22,19,0,1,2,22,34,0,3889,11,131,1049,4.68,5.51,1,10,5,0.05,1
6628,0,5,8,7,0,0,5,20,1,1752,5,139,1374,4.54,5.29,1,39,13,0.26,1
6989,1,15,12,5,1,0,15,22,1,4859,8,146,241,5.04,5.79,1,31,13,0.18,1
9527,1,47,61,0,0,0,47,155,0,24324,17,201,1159,4.16,4.93,2,30,0,0.3,1
12870,0,22,29,0,0,0,22,53,1,1506,19,278,162,4.59,4.92,1,52,12,0.4,1
13027,0,31,65,2,1,2,31,116,0,9482,17,282,1049,4.85,5.6,1,20,12,0.08,1
13239,1,10,11,0,0,0,10,29,1,10937,4,290,1049,4.51,5.26,1,29,7,0.22,1
13675,0,11,18,7,3,0,11,37,1,1530,10,300,53,4.18,5,1,36,5,0.31,1
17010,0,25,18,3,0,0,25,35,0,3682,13,394,127,4.88,5.63,1,12,0,0.12,1
17050,1,25,44,0,1,1,25,54,0,4288,18,395,1049,5.01,5.09,1,23,6,0.17,1
17208,1,23,46,1,0,0,23,56,0,20237,20,401,1049,4.89,5.06,1,20,1,0.19,1
17663,1,22,30,0,0,0,22,37,0,8815,19,415,1229,4.99,5.08,1,52,7,0.45,1
18034,1,30,34,0,0,0,30,37,0,6355,17,426,86,4.99,5.09,1,10,0,0.1,1
18105,0,18,38,1,2,1,18,58,0,8642,17,427,1049,4.85,4.93,1,22,5,0.17,1
18575,1,17,30,0,0,0,17,36,0,13524,17,441,216,4.72,5.14,1,24,0,0.24,1
18620,0,11,18,0,0,0,11,23,0,5668,15,443,1049,4.59,4.76,1,13,1,0.12,1
22357,1,5,3,5,0,0,5,19,1,3635,1,534,1049,4.57,5.32,1,23,6,0.17,1
25428,1,20,7,1,0,0,20,32,1,4252,1,610,1410,4.75,5.42,1,26,11,0.15,1
25634,1,13,10,0,0,0,13,29,0,174,8,616,1056,4.65,5.07,1,42,11,0.31,1
26772,1,23,27,0,0,0,23,41,0,29948,18,650,41,5,5.17,1,16,0,0.16,1
27954,1,8,5,1,0,0,8,12,0,8532,4,678,524,4.05,4.8,1,36,8,0.28,1
29424,0,10,20,0,0,0,10,33,1,3766,15,715,351,4.74,5.49,1,60,18,0.42,1
29461,1,12,14,2,1,1,12,29,0,1022,11,715,1199,4.53,5.27,1,60,18,0.42,1
33343,0,8,22,2,0,0,8,29,0,26373,15,837,276,4.57,4.99,1,29,6,0.23,1
34035,0,23,32,0,0,0,23,47,0,25098,18,853,1096,4.74,4.91,1,21,7,0.14,1
35494,0,36,64,4,2,1,36,76,0,24735,17,890,1049,4.8,4.88,1,22,1,0.21,1
36559,0,22,25,6,3,1,22,50,0,11187,14,917,1231,4.99,5.66,1,25,2,0.23,1
36933,1,24,37,0,0,0,24,49,0,15195,17,929,786,4.88,5.05,1,77,8,0.69,1
37440,1,23,46,0,0,0,23,69,0,22787,20,955,158,4.76,4.93,1,28,2,0.26,1
37612,0,4,11,0,0,0,4,14,0,17382,9,959,871,4.91,5.07,1,14,5,0.09,1
38911,0,13,18,6,1,3,13,21,1,5731,9,988,861,4.76,5.51,1,36,15,0.21,1
51029,1,26,29,1,0,0,26,66,0,22137,20,1310,940,4.62,5.36,1,16,2,0.14,1
51833,0,17,19,6,0,0,17,76,0,8925,14,1325,1001,4.25,5,1,45,2,0.43,1
52327,0,7,10,3,0,0,7,13,1,21232,10,1338,135,4.68,5.1,1,8,1,0.07,1
57659,0,37,38,0,0,0,37,64,0,10631,16,1519,179,4.79,6.03,1,5,0,0.05,1
58684,0,12,25,5,0,0,12,41,1,2805,19,1560,264,4.68,5.34,1,49,16,0.33,1
58690,0,7,15,6,4,0,7,21,0,14498,12,1560,264,4.49,5.16,1,49,16,0.33,1
59831,1,27,38,0,0,0,27,54,1,471,17,1579,27,4.97,5.3,1,25,10,0.15,1
59840,1,17,20,0,0,0,17,25,1,22239,12,1579,27,4.95,5.03,1,25,10,0.15,1
59865,0,25,33,0,0,0,25,37,0,22629,20,1579,58,4.89,4.97,1,25,10,0.15,1
63840,0,24,48,0,0,0,24,146,0,29797,19,1717,1204,4.83,5.58,1,55,1,0.54,1
64120,1,47,110,0,0,0,47,162,0,14617,19,1726,1057,5.58,5.77,2,18,0,0.18,1
64698,0,3,12,6,3,0,3,14,0,7980,8,1742,898,4.46,5.12,1,7,2,0.05,1
68853,1,13,14,3,0,0,13,43,0,13364,9,1893,99,4.37,5.11,1,27,2,0.25,1
44712,1,54,163,0,0,0,55,156,0,16816,18,1143,135,5.45,5.45,2,8,0,0.08,1.00000214610039
34829,0,45,48,1,0,0,46,108,0,17828,22,871,1341,4.81,5.26,2,20,1,0.19,1.00000257063567
37639,0,40,62,0,0,0,41,166,0,30427,15,960,1410,4.91,5.66,2,14,0,0.14,1.00000288802903
48513,1,39,28,0,0,0,40,114,0,28046,17,1249,1357,4.59,5.32,2,17,2,0.15,1.00000296115152
33758,0,38,41,0,0,0,39,55,0,504,19,847,1353,4.97,5.11,2,23,2,0.21,1.0000030380732
34603,1,38,41,5,3,3,39,58,0,4987,15,866,45,4.79,4.9,2,11,1,0.1,1.0000030380732
34776,0,38,43,2,2,2,39,49,0,583,23,870,994,4.74,4.88,2,19,7,0.12,1.0000030380732
38183,1,38,40,4,1,1,39,77,0,8074,15,972,167,5.02,5.45,2,4,0,0.04,1.0000030380732
34098,0,37,28,0,0,0,38,43,0,14520,15,854,1101,4.76,4.88,1,39,9,0.3,1.00000311909809
70215,0,36,59,1,4,1,37,136,0,28759,17,1954,93,4.91,5.74,1,34,3,0.31,1.00000320456352
69732,0,35,72,0,0,0,36,174,0,28115,20,1934,806,4.42,5.25,1,5,0,0.05,1.00000329484484
35907,0,32,60,0,0,0,33,68,0,23900,22,902,871,4.87,5.04,1,16,0,0.16,1.00000359903088
17174,0,30,51,0,0,0,31,56,0,22437,17,400,257,5.01,5.17,1,10,0,0.1,1.00000383507435
18440,1,30,52,1,0,0,31,60,0,20237,19,436,873,4.81,4.89,1,50,1,0.49,1.00000383507435
18662,1,30,42,3,0,0,31,45,0,12247,22,445,1049,4.83,5,1,22,3,0.19,1.00000383507435
34443,0,29,27,0,0,0,30,61,1,2536,18,862,1049,4.81,4.9,1,20,5,0.15,1.00000396510162
47321,1,28,63,0,0,0,29,83,0,29961,20,1226,935,4.43,4.76,1,51,2,0.49,1.00000410425635
33298,1,26,64,0,0,0,27,90,0,24498,19,836,1191,4.5,5,1,34,3,0.31,1.00000441408319
18663,1,25,46,0,0,0,26,59,1,6119,16,445,1049,3.99,5.16,1,22,3,0.19,1.00000458722843
23527,0,25,27,0,0,0,26,82,0,2522,18,566,1401,4.63,5.29,1,44,13,0.31,1.00000458722843
71427,0,25,40,6,4,2,26,95,0,25899,12,1988,629,4.18,4.92,1,22,0,0.22,1.00000458722843
29472,1,24,46,1,0,1,25,105,0,461,18,715,1225,4.54,5.29,1,60,18,0.42,1.00000477451368
35613,0,24,25,4,0,0,25,33,0,17392,17,893,1371,4.7,4.87,1,34,0,0.34,1.00000477451368
66955,1,24,27,3,1,2,25,48,0,9811,17,1822,1405,4.16,4.91,1,62,9,0.53,1.00000477451368
1785,0,23,27,0,0,0,24,66,0,10575,13,46,895,4.62,5.03,1,57,8,0.49,1.00000497774507
12840,1,23,38,0,0,0,24,62,1,2371,16,278,134,4.77,5.43,1,52,12,0.4,1.00000497774507
16600,0,23,29,0,0,0,24,42,0,3274,19,385,369,4.88,4.97,1,51,17,0.34,1.00000497774507
37506,0,23,23,0,0,0,24,34,0,1018,15,956,168,4.82,5.23,1,39,23,0.16,1.00000497774507
37943,1,23,19,0,0,0,24,44,0,6832,12,967,1049,4.63,4.88,1,23,10,0.13,1.00000497774507
47322,0,23,23,1,0,0,24,34,1,29069,16,1226,935,4.57,4.9,1,51,2,0.49,1.00000497774507
69322,1,23,31,0,0,0,24,134,0,20881,17,1919,1049,4.62,5.37,1,16,0,0.16,1.00000497774507
70022,0,23,52,6,0,1,24,169,0,29501,19,1945,1049,4.57,5.4,1,27,3,0.24,1.00000497774507
16471,1,22,23,0,0,0,23,33,0,16042,17,381,554,4.72,4.89,1,40,6,0.34,1.00000519905007
18424,0,22,42,3,1,0,23,45,0,7143,17,436,873,4.7,4.78,1,50,1,0.49,1.00000519905007
34095,1,44,78,1,0,0,46,114,1,11693,19,854,1101,4.88,5,2,39,9,0.3,1.00000519905007
38135,1,22,46,0,0,0,23,63,0,20047,17,971,898,4.67,4.75,1,55,22,0.33,1.00000519905007
51840,1,22,30,2,0,0,23,68,0,8977,17,1325,1212,4.85,5.6,1,45,2,0.43,1.00000519905007
66060,1,22,22,3,0,0,23,64,0,19746,16,1789,850,4.45,5.11,1,16,1,0.15,1.00000519905007
384,1,42,31,0,0,0,44,92,0,15334,15,11,1170,4.3,4.96,2,21,1,0.2,1.0000054409523
12876,1,21,34,0,0,0,22,92,0,19771,16,278,201,3.9,5.23,1,52,12,0.4,1.0000054409523
17630,1,21,47,0,0,0,22,62,0,15007,17,415,1015,4.68,4.85,1,52,7,0.45,1.0000054409523
35512,1,21,36,1,0,0,22,41,0,24735,20,890,1049,4.84,4.93,1,22,1,0.21,1.0000054409523
40833,1,21,30,3,0,0,22,101,1,24115,20,1038,318,4.71,5.45,1,51,4,0.47,1.0000054409523
41807,0,21,29,0,0,0,22,95,0,11084,20,1063,1247,4.27,5.02,1,30,2,0.28,1.0000054409523
390,1,40,44,0,0,0,42,82,0,12939,16,11,1170,4.48,5.18,2,21,1,0.2,1.00000570646823
16431,1,20,29,4,0,0,21,44,0,16042,20,381,4,4.82,4.99,1,40,6,0.34,1.00000570646823
32953,0,40,47,5,6,3,42,70,0,2056,20,826,1085,4.81,5.42,2,20,8,0.12,1.00000570646823
